    n    |   linearno   |   dvojisko   |
---------+--------------+--------------+
    1000 |         1825 |          262 |
    2000 |         2000 |          278 |
    3000 |          382 |          176 |
    4000 |          478 |          235 |
    5000 |          563 |          107 |
    6000 |          679 |          116 |
    7000 |         1067 |          143 |
    8000 |         1238 |          123 |
    9000 |         1354 |          138 |
   10000 |         1591 |          152 |
   11000 |         1558 |          139 |
   12000 |         1440 |          119 |
   13000 |         1996 |          144 |
   14000 |         1548 |          122 |
   15000 |         1758 |          134 |
   16000 |         1748 |          121 |
   17000 |         1947 |          119 |
   18000 |         1906 |          123 |
   19000 |         2038 |          128 |
   20000 |         2149 |          132 |
   21000 |         2521 |          127 |
   22000 |         2393 |          125 |
   23000 |         2508 |          176 |
   24000 |         2477 |          130 |
   25000 |         2670 |          123 |
   26000 |         3030 |          127 |
   27000 |         2842 |          127 |
   28000 |         2922 |          127 |
   29000 |         3076 |          132 |
   30000 |         3132 |          127 |
   31000 |         3391 |          132 |
   32000 |         3341 |          126 |
   33000 |         3619 |          130 |
   34000 |         3713 |          165 |
   35000 |         3664 |          145 |
   36000 |         4000 |          132 |
   37000 |         3888 |          127 |
   38000 |         4143 |          134 |
   39000 |         4385 |          129 |
   40000 |         4411 |          148 |
   41000 |         4291 |          160 |
   42000 |         4494 |          129 |
   43000 |         4691 |          130 |
   44000 |         4569 |          181 |
   45000 |         4811 |          136 |
   46000 |         4914 |          160 |
   47000 |         4956 |          144 |
   48000 |         5435 |          147 |
   49000 |         5363 |          136 |
   50000 |         5598 |          152 |
   51000 |         5543 |          139 |
   52000 |         5645 |          279 |
   53000 |         6693 |          141 |
   54000 |         5734 |          139 |
   55000 |         6623 |          186 |
   56000 |         6232 |          137 |
   57000 |         6526 |          174 |
   58000 |         6234 |          145 |
   59000 |         7302 |          194 |
   60000 |         6850 |          143 |
   61000 |         7159 |          215 |
   62000 |         8292 |          264 |
   63000 |         6464 |          160 |
   64000 |         7011 |          114 |
   65000 |         7797 |          124 |
   66000 |         7421 |          122 |
   67000 |         6893 |           99 |
   68000 |         7002 |          101 |
   69000 |         7758 |          115 |
   70000 |         7746 |          100 |
   71000 |         7113 |          100 |
   72000 |         7583 |          101 |
   73000 |         7438 |          101 |
   74000 |         7522 |           99 |
   75000 |         7363 |          101 |
   76000 |         7654 |          102 |
   77000 |         8086 |          102 |
   78000 |         7988 |          109 |
   79000 |         8431 |          102 |
   80000 |         8643 |          103 |
   81000 |         8343 |          103 |
   82000 |         8434 |          105 |
   83000 |         8265 |          107 |
   84000 |         8444 |          103 |
   85000 |         7902 |          104 |
   86000 |        10648 |          140 |
   87000 |         8946 |          155 |
   88000 |         8574 |          106 |
   89000 |        10900 |          106 |
   90000 |         8800 |          107 |
   91000 |         9280 |          162 |
   92000 |         9320 |          106 |
   93000 |        12833 |          105 |
   94000 |        10152 |          147 |
   95000 |         9852 |          146 |
   96000 |        12557 |          105 |
   97000 |        11516 |          107 |
   98000 |         9756 |          165 |
   99000 |        10271 |          106 |
  100000 |         9389 |          108 |
